year,region,region_oktmo,city,city_oktmo,air_general_level,air_standard_index,air_repeatability,air_qcp,air_solid_emissions,air_so_emissions,air_no_emissions,air_co_emissions,air_population,air_stantions
2010,Ростовская область,60000000,НОВОЧЕРКАССК,60727000,4,No substance,30 СО (ст.1) 22 ВВ (ст.1),"ВВ, NO2, Фенол, Ф, NO, БП,СО",22.7,45.6,27.8,14.7,176.6,1
2010,Ростовская область,60000000,РОСТОВ-НА-ДОНУ,60701000,4,No substance,No substance,"ВВ, БП, Ф NO2, Cажа, Фенол",1.1,1.7,26.4,85.0,1048.6,7
2010,Ростовская область,60000000,ТАГАНРОГ,60737000,2,No substance,No substance,"БП, СО, NO2",0.8,0.3,6.3,16.4,256.4,1
2010,Ростовская область,60000000,ЦИМЛЯНСК,60657101,1,No substance,No substance,No substance,-1.0,-1.0,-1.0,-1.0,14.8,1
2010,Ростовская область,60000000,ШАХТЫ,60740000,2,No substance,No substance,"ВВ, БП, NO2",0.9,0.8,3.8,11.9,245.5,1
2010,Рязанская область,61000000,РЯЗАНЬ,61701000,3,"H2S, ВВ, Фенол",No substance,"БП, NO2, ВВ,Ф",1.5,11.1,16.8,42.3,509.4,4
2010,Самарская область,36000000,БЕЗЕНЧУК,36604151,2,No substance,No substance,"Ф,NH3,NO2",-1.0,-1.0,-1.0,-1.0,22.5,1
2010,Самарская область,36000000,ЖИГУЛЕВСК,36704000,1,No substance,No substance,"NH3, NO2",3.4,0.04,0.3,0.4,62.6,1
2010,Самарская область,36000000,НОВОКУЙБЫШЕВСК,36713000,3,No substance,No substance,"БП, Ф, NO2",0.73,6.3,4.4,10.5,112.3,3
2010,Самарская область,36000000,ОТРАДНЫЙ,36724000,2,No substance,No substance,"Ф, Al",0.09,0.1,1.2,1.2,47.7,1
2010,Самарская область,36000000,ПОХВИСТНЕВО,36727000,3,No substance,No substance,Ф,0.4,0.5,0.1,3.4,29.1,1
2010,Самарская область,36000000,САМАРА,36701000,3,No substance,No substance,"БП, Ф, NH3",2.6,12.5,39.9,104.8,1133.8,15+1+ эп
2010,Самарская область,36000000,СЫЗРАНЬ,36735000,3,No substance,No substance,"БП, Ф, NO2",0.85,9.1,4.4,11.2,179.4,4+эп
2010,Самарская область,36000000,ТОЛЬЯТТИ,36740000,3,No substance,No substance,"БП, Ф, NO2",4.6,2.1,25.0,60.3,721.8,8
2010,Самарская область,36000000,ЧАПАЕВСК,36750000,2,No substance,No substance,"БП, Ф, NO2",0.42,0.25,2.1,5.7,73.4,3
2010,Санкт-Петербург,40000000,САНКТ-ПЕТЕРБУРГ,40000000,3,БП,57 NH3 (ст.5),"NH3, NO2, БП, О3",3.5,13.0,133.1,395.2,4600.3,10+10
2010,Саратовская область,63000000,БАЛАКОВО,63607101,3,No substance,No substance,"NO2, БП, Ф",1.2,0.9,10.4,5.8,198.0,3
2010,Саратовская область,63000000,БОЛЬШАЯ САКМА,00000000,-9,No substance,No substance,No substance,-1.0,-1.0,-1.0,-1.0,0.53,1
2010,Саратовская область,63000000,ГОРНЫЙ,63632420,1,No substance,No substance,No substance,-1.0,-1.0,-1.0,-1.0,6.2,1
2010,Саратовская область,63000000,ОКТЯБРЬСКИЙ,63608448,1,No substance,No substance,No substance,-1.0,-1.0,-1.0,-1.0,0.29,1
2010,Саратовская область,63000000,САРАТОВ,63701000,3,No substance,No substance,"NO2, БП, Ф",1.1,2.8,25.1,82.8,827.2,6
2010,Сахалинская область,64000000,АЛЕКСАНДРОВСК-САХАЛИНСКИЙ,64704000,1,No substance,25 Cажа (ст.2),Cажа,2.0,0.32,0.4,2.3,12.2,2
2010,Сахалинская область,64000000,КОРСАКОВ,64716000,2,ВВ,"79 ВВ (ст.3), 22Cажа (ст.3)","Cажа, ВВ, NO2",1.6,0.5,3.9,15.3,35.9,2
2010,Сахалинская область,64000000,НОВОАЛЕКСАНДРОВСК,07726000,2,СО,50 ВВ (ст.1),"NO2, ВВ",0.6,0.1,0.12,0.8,10.7,1
2010,Сахалинская область,64000000,ОХА,64736000,1,No substance,No substance,NO2,0.1,0.2,2.4,8.1,27.2,1
2010,Сахалинская область,64000000,ПОРОНАЙСК,64740000,2,No substance,No substance,"Cажа, NO2",8.9,4.6,2.7,4.0,17.4,2
2010,Сахалинская область,64000000,ЮЖНО-САХАЛИНСК,64701000,4,"БП, ВВ, CO",76 ВВ (ст.4),"NO2, Ф, БП, ВВ, Cажа",7.6,7.1,11.0,29.1,181.2,4
2010,Свердловская область,65000000,ЕКАТЕРИНБУРГ,65701000,4,ЭБ,27 Ф (ст.14),"БП, Ф, NO2, NH3",2.9,4.2,88.7,275.4,1346.3,8
2010,Свердловская область,65000000,КАМЕНСК-УРАЛЬСКИЙ,65740000,2,No substance,No substance,"NO2, ВВ, БП",14.1,7.8,7.1,20.2,183.2,2
2010,Свердловская область,65000000,КРАСНОТУРЬИНСК,65745000,3,No substance,No substance,"Ф, БП, NO2",26.1,5.0,5.3,14.3,68.0,2
2010,Свердловская область,65000000,НИЖНИЙ ТАГИЛ,65751000,4,БП,No substance,"Ф, БП, NH3",10.7,7.1,15.4,100.9,377.5,4
2010,Свердловская область,65000000,ПЕРВОУРАЛЬСК,65753000,3,No substance,32 NO2 (ст.2),"БП, HF, NO2, NO",0.8,0.17,2.3,5.0,158.7,2
2010,Смоленская область,66000000,СМОЛЕНСК,66701000,2,ВВ,No substance,"ВВ, БП",0.3,0.3,3.4,1.1,314.5,2+1
2010,Ставропольский край,07000000,КИСЛОВОДСК,07715000,1,No substance,No substance,БП,0.05,0.2,3.1,9.25,118.9,1
2010,Ставропольский край,07000000,МИНЕРАЛЬНЫЕ ВОДЫ,07721000,-9,No substance,No substance,БП,0.13,0.14,1.8,5.7,80.0,1
2010,Ставропольский край,07000000,НЕВИННОМЫССК,07724000,3,No substance,No substance,"БП, NO2, HF",2.2,0.56,6.4,9.8,127.9,2+1
2010,Ставропольский край,07000000,ПЯТИГОРСК,07727000,1,No substance,No substance,БП,0.14,0.3,4.3,13.2,132.2,1
2010,Ставропольский край,07000000,СТАВРОПОЛЬ,07701000,4,No substance,No substance,"БП, Ф",0.4,0.7,12.2,36.3,369.1,4
2010,Тамбовская область,68000000,ТАМБОВ,68701000,2,No substance,No substance,"ВВ, БП, NO2",0.9,0.5,8.3,22.3,278.0,3+1
2010,Тверская область,28000000,ТВЕРЬ,28701000,4,No substance,No substance,"ВВ, БП, Ф",1.3,0.5,2.4,2.2,410.4,1
2010,Томская область,69000000,ТОМСК,69701000,3,No substance,No substance,"БП, Ф, NO2",5.5,3.9,15.8,71.9,521.6,6
2010,Тульская область,70000000,НОВОМОСКОВСК,70724000,3,No substance,No substance,"БП, Ф, NH3",1.4,0.2,6.1,14.7,133.0,3
2010,Тульская область,70000000,ТУЛА,70701000,3,No substance,No substance,"БП, Ф",4.6,2.7,18.8,93.1,496.0,5
2010,Тульская область,70000000,ЯСНАЯ ПОЛЯНА,70648408,4,"Ф,NO2, NO",49 Ф (ст.1),Ф,0.4,0.4,4.4,8.9,1.1,2
2010,Тюменская область,71000000,ТОБОЛЬСК,71710000,1,No substance,No substance,Ф,0.7,0.4,8.3,13.9,99.0,3
2010,Тюменская область,71000000,ТЮМЕНЬ,71701000,3,No substance,No substance,"ВВ, Ф, БП, NO2, NO",1.6,1.7,29.3,57.9,580.2,5
2010,Удмуртская Республика,94000000,ИЖЕВСК,94701000,3,No substance,No substance,"Ф, БП",2.2,2.0,15.7,59.0,645.0,4+2м
